tx_id,gene_id
ENST00000390450,ENSG00000211802
ENST00000390451,ENSG00000211803
ENST00000390452,ENSG00000211804
ENST00000390453,ENSG00000211805
ENST00000390454,ENSG00000211806
ENST00000390455,ENSG00000211807
ENST00000390456,ENSG00000211808
ENST00000390457,ENSG00000211809
ENST00000390458,ENSG00000211810
ENST00000557168,ENSG00000259092
ENST00000390460,ENSG00000211812
ENST00000390461,ENSG00000211813
ENST00000390463,ENSG00000211815
ENST00000390464,ENSG00000211816
ENST00000390465,ENSG00000211817
ENST00000390466,ENSG00000211818
ENST00000390467,ENSG00000211819
ENST00000390468,ENSG00000211820
ENST00000417977,ENSG00000237254
ENST00000697100,ENSG00000289723
ENST00000379435,ENSG00000205274
ENST00000390340,ENSG00000211693
ENST00000390341,ENSG00000211694
ENST00000444775,ENSG00000211695
ENST00000390343,ENSG00000211696
ENST00000390344,ENSG00000211697
ENST00000390345,ENSG00000211698
ENST00000390346,ENSG00000211699
ENST00000426402,ENSG00000233306
ENST00000390348,ENSG00000211701
ENST00000617639,ENSG00000275743
ENST00000616518,ENSG00000276819
ENST00000620773,ENSG00000275243
ENST00000619103,ENSG00000277880
ENST00000611520,ENSG00000276557
ENST00000390393,ENSG00000211746
ENST00000390394,ENSG00000211747
ENST00000390396,ENSG00000211749
ENST00000390397,ENSG00000211750
ENST00000390398,ENSG00000282499
ENST00000390399,ENSG00000211752
ENST00000390400,ENSG00000211753
ENST00000422143,ENSG00000232869
ENST00000390477,ENSG00000211829
ENST00000611116,ENSG00000277734
ENST00000632136,ENSG00000281981
ENST00000622053,ENSG00000276849
ENST00000633705,ENSG00000211751
ENST00000466254,ENSG00000211772
ENST00000436911,ENSG00000227191
ENST00000443402,ENSG00000211689
ENST00000631705,ENSG00000282797
ENST00000633501,ENSG00000282615
ENST00000631521,ENSG00000282065
ENST00000633896,ENSG00000282471
ENST00000632178,ENSG00000282342
ENST00000634062,ENSG00000282409
ENST00000390320,ENSG00000211674
ENST00000390322,ENSG00000211676
ENST00000390324,ENSG00000211678
ENST00000390326,ENSG00000211680
ENST00000390327,ENSG00000211681
ENST00000390328,ENSG00000211682
ENST00000390330,ENSG00000211684
ENST00000390560,ENSG00000211900
ENST00000488476,ENSG00000242472
ENST00000461719,ENSG00000240041
ENST00000463911,ENSG00000242887
ENST00000390564,ENSG00000211904
ENST00000390565,ENSG00000211905
ENST00000390238,ENSG00000211593
ENST00000390239,ENSG00000211594
ENST00000390240,ENSG00000211595
ENST00000390241,ENSG00000211596
ENST00000390242,ENSG00000211597
ENST00000622473,ENSG00000276173
ENST00000632774,ENSG00000282184
ENST00000610670,ENSG00000276192
ENST00000633714,ENSG00000282633
ENST00000631539,ENSG00000277633
ENST00000631466,ENSG00000277633
ENST00000631402,ENSG00000277633
ENST00000618981,ENSG00000277016
ENST00000621803,ENSG00000274497
ENST00000633698,ENSG00000278801
ENST00000626472,ENSG00000282657
ENST00000641837,ENSG00000211895
ENST00000390547,ENSG00000211895
ENST00000390321,ENSG00000211675
ENST00000390323,ENSG00000211677
ENST00000390325,ENSG00000211679
ENST00000390331,ENSG00000211685
ENST00000390548,ENSG00000211896
ENST00000390549,ENSG00000211896
ENST00000390542,ENSG00000211896
ENST00000641136,ENSG00000211897
ENST00000390551,ENSG00000211897
ENST00000390556,ENSG00000211898
ENST00000637539,ENSG00000211899
ENST00000390559,ENSG00000211899
ENST00000497872,ENSG00000211890
ENST00000390539,ENSG00000211890
ENST00000641420,ENSG00000211891
ENST00000390541,ENSG00000211891
ENST00000641978,ENSG00000211892
ENST00000390543,ENSG00000211892
ENST00000641095,ENSG00000211893
ENST00000390545,ENSG00000211893
ENST00000390237,ENSG00000211592
ENST00000622028,ENSG00000277282
ENST00000632585,ENSG00000282172
ENST00000632205,ENSG00000282801
ENST00000632891,ENSG00000282163
ENST00000633250,ENSG00000282310
ENST00000631614,ENSG00000283113
ENST00000633273,ENSG00000282758
ENST00000632088,ENSG00000282823
ENST00000632502,ENSG00000282694
ENST00000632887,ENSG00000282447
ENST00000632011,ENSG00000282282
ENST00000632229,ENSG00000281978
ENST00000632822,ENSG00000282402
ENST00000631699,ENSG00000282210
ENST00000633851,ENSG00000282671
ENST00000631531,ENSG00000282666
ENST00000633682,ENSG00000282025
ENST00000632910,ENSG00000281933
ENST00000634204,ENSG00000282811
ENST00000632835,ENSG00000282811
ENST00000632103,ENSG00000282394
ENST00000631411,ENSG00000282120
ENST00000632811,ENSG00000282182
ENST00000632384,ENSG00000282182
ENST00000390313,ENSG00000211667
ENST00000390314,ENSG00000211668
ENST00000604066,ENSG00000270505
ENST00000630556,ENSG00000281179
ENST00000622410,ENSG00000278263
ENST00000558565,ENSG00000259490
ENST00000338912,ENSG00000188403
ENST00000634015,ENSG00000282322
ENST00000633833,ENSG00000282678
ENST00000632076,ENSG00000282476
ENST00000633490,ENSG00000282284
ENST00000632333,ENSG00000282644
ENST00000632151,ENSG00000282404
ENST00000632977,ENSG00000282213
ENST00000612474,ENSG00000276491
ENST00000633618,ENSG00000282579
ENST00000631807,ENSG00000282642
ENST00000632980,ENSG00000282281
ENST00000631826,ENSG00000282776
ENST00000632719,ENSG00000282726
ENST00000633426,ENSG00000282593
ENST00000631755,ENSG00000282653
ENST00000631975,ENSG00000282286
ENST00000633147,ENSG00000282716
ENST00000631869,ENSG00000282150
ENST00000633752,ENSG00000282401
ENST00000631710,ENSG00000274236
ENST00000632225,ENSG00000282104
ENST00000632959,ENSG00000282290
ENST00000620764,ENSG00000277574
ENST00000633988,ENSG00000282211
ENST00000632457,ENSG00000282344
ENST00000619078,ENSG00000282691
ENST00000632173,ENSG00000282453
ENST00000633040,ENSG00000282151
ENST00000632846,ENSG00000282045
ENST00000633602,ENSG00000278042
ENST00000614315,ENSG00000278042
ENST00000632296,ENSG00000282627
ENST00000633446,ENSG00000282399
ENST00000632614,ENSG00000282337
ENST00000560724,ENSG00000277318
ENST00000632052,ENSG00000282822
ENST00000631785,ENSG00000282425
ENST00000631708,ENSG00000273539
ENST00000632960,ENSG00000282451
ENST00000633987,ENSG00000282305
ENST00000632005,ENSG00000282482
ENST00000633570,ENSG00000278082
ENST00000615784,ENSG00000275148
ENST00000633400,ENSG00000282777
ENST00000631379,ENSG00000282223
ENST00000632882,ENSG00000282350
ENST00000632211,ENSG00000275316
ENST00000632105,ENSG00000282131
ENST00000632630,ENSG00000281962
ENST00000633299,ENSG00000282745
ENST00000633350,ENSG00000282550
ENST00000390609,ENSG00000211949
ENST00000390616,ENSG00000211956
ENST00000390618,ENSG00000211958
ENST00000390612,ENSG00000211952
ENST00000390607,ENSG00000211947
ENST00000632099,ENSG00000282639
ENST00000390617,ENSG00000211957
ENST00000390603,ENSG00000211943
ENST00000390606,ENSG00000211946
ENST00000390610,ENSG00000211950
ENST00000390615,ENSG00000211955
ENST00000603660,ENSG00000270550
ENST00000632950,ENSG00000282651
ENST00000390611,ENSG00000211951
ENST00000390605,ENSG00000211945
ENST00000438142,ENSG00000231475
ENST00000390602,ENSG00000211942
ENST00000390604,ENSG00000211944
ENST00000390601,ENSG00000211941
ENST00000628219,ENSG00000281078
ENST00000627132,ENSG00000275777
ENST00000626108,ENSG00000281759
ENST00000610349,ENSG00000274575
ENST00000628287,ENSG00000274854
ENST00000627634,ENSG00000280866
ENST00000628968,ENSG00000281471
ENST00000618644,ENSG00000278293
ENST00000618026,ENSG00000273737
ENST00000630493,ENSG00000281536
ENST00000629472,ENSG00000281345
ENST00000626489,ENSG00000281145
ENST00000390282,ENSG00000211637
ENST00000390287,ENSG00000211642
ENST00000390283,ENSG00000211638
ENST00000390284,ENSG00000211639
ENST00000390285,ENSG00000211640
ENST00000390286,ENSG00000211641
ENST00000390289,ENSG00000211643
ENST00000390290,ENSG00000211644
ENST00000390291,ENSG00000211645
ENST00000427632,ENSG00000223350
ENST00000390293,ENSG00000211647
ENST00000390294,ENSG00000211648
ENST00000390295,ENSG00000211649
ENST00000390296,ENSG00000211650
ENST00000390297,ENSG00000211651
ENST00000390298,ENSG00000211652
ENST00000390299,ENSG00000211653
ENST00000390300,ENSG00000211654
ENST00000390301,ENSG00000211655
ENST00000496168,ENSG00000243466
ENST00000390244,ENSG00000211599
ENST00000390302,ENSG00000211656
ENST00000390303,ENSG00000211657
ENST00000390304,ENSG00000211658
ENST00000390305,ENSG00000211659
ENST00000390306,ENSG00000211660
ENST00000390307,ENSG00000211661
ENST00000390308,ENSG00000211662
ENST00000390309,ENSG00000211663
ENST00000390310,ENSG00000211664
ENST00000390311,ENSG00000211665
ENST00000390312,ENSG00000211666
ENST00000390619,ENSG00000211959
ENST00000434710,ENSG00000232216
ENST00000390621,ENSG00000211961
ENST00000390622,ENSG00000211962
ENST00000390624,ENSG00000211964
ENST00000390625,ENSG00000211965
ENST00000390626,ENSG00000211966
ENST00000390627,ENSG00000211967
ENST00000390628,ENSG00000211968
ENST00000390629,ENSG00000224373
ENST00000519403,ENSG00000254167
ENST00000390315,ENSG00000211669
ENST00000390316,ENSG00000211670
ENST00000620395,ENSG00000278196
ENST00000390318,ENSG00000211672
ENST00000390319,ENSG00000211673
ENST00000421835,ENSG00000233999
ENST00000390593,ENSG00000211933
ENST00000390594,ENSG00000211934
ENST00000390595,ENSG00000211935
ENST00000455737,ENSG00000276775
ENST00000631943,ENSG00000282122
ENST00000390597,ENSG00000211937
ENST00000390598,ENSG00000211938
ENST00000390630,ENSG00000211970
ENST00000454421,ENSG00000223648
ENST00000390632,ENSG00000211972
ENST00000390633,ENSG00000211973
ENST00000390634,ENSG00000211974
ENST00000632209,ENSG00000281990
ENST00000624687,ENSG00000280411
ENST00000617374,ENSG00000274576
ENST00000433072,ENSG00000225698
ENST00000390636,ENSG00000211976
ENST00000424969,ENSG00000224650
ENST00000390639,ENSG00000211979
ENST00000557788,ENSG00000259261
ENST00000354689,ENSG00000270472
ENST00000567458,ENSG00000259303
ENST00000425181,ENSG00000233732
ENST00000565407,ENSG00000271130
ENST00000453673,ENSG00000231292
ENST00000390243,ENSG00000211598
