"","ENSEMBL","ENTREZID","SYMBOL"
"147","ENSG00000123104","3709","ITPR2"
"148","ENSG00000123329","64333","ARHGAP9"
"149","ENSG00000123384","4035","LRP1"
"150","ENSG00000123700","3759","KCNJ2"
"151","ENSG00000124145","6385","SDC4"
"152","ENSG00000124257","140825","NEURL2"
"153","ENSG00000125954","100529261","CHURC1-FNTB"
"154","ENSG00000127311","92797","HELB"
"155","ENSG00000127324","7103","TSPAN8"
"156","ENSG00000127329","5787","PTPRB"
"157","ENSG00000127423","79000","AUNIP"
"158","ENSG00000128815","57705","WDFY4"
"159","ENSG00000129007","91860","CALML4"
"160","ENSG00000129159","3746","KCNC1"
"161","ENSG00000129757","1028","CDKN1C"
"162","ENSG00000129965","723961","INS-IGF2"
"163","ENSG00000130222","10912","GADD45G"
"164","ENSG00000130283","2657","GDF1"
"165","ENSG00000130477","23025","UNC13A"
"166","ENSG00000130592","4046","LSP1"
"167","ENSG00000131153","51659","GINS2"
"168","ENSG00000131470","29893","PSMC3IP"
"169","ENSG00000132003","65249","ZSWIM4"
"170","ENSG00000132274","10346","TRIM22"
"171","ENSG00000132793","64900","LPIN3"
"172","ENSG00000133083","9201","DCLK1"
"173","ENSG00000133639","694","BTG1"
"174","ENSG00000133794","406","BMAL1"
"175","ENSG00000133805","272","AMPD3"
"176","ENSG00000134508","91768","CABLES1"
"177","ENSG00000135362","79899","PRR5L"
"178","ENSG00000135472","23017","FAIM2"
"179","ENSG00000135549","5570","PKIB"
"180","ENSG00000135678","1368","CPM"
"181","ENSG00000135679","4193","MDM2"
"182","ENSG00000135924","3300","DNAJB2"
"183","ENSG00000136002","50649","ARHGEF4"
"184","ENSG00000136367","85446","ZFHX2"
"185","ENSG00000136531","6326","SCN2A"
"186","ENSG00000136928","9568","GABBR2"
"187","ENSG00000136999","4856","CCN3"
"188","ENSG00000137310","6941","TCF19"
"189","ENSG00000137313","7726","TRIM26"
"190","ENSG00000137404","11270","NRM"
"191","ENSG00000137877","51332","SPTBN5"
"192","ENSG00000138131","84171","LOXL4"
"193","ENSG00000138376","580","BARD1"
"194","ENSG00000138678","84803","GPAT3"
"195","ENSG00000138741","7222","TRPC3"
"196","ENSG00000138764","901","CCNG2"
