Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
SRR16975751 - illumina_universal_adapter	(1, 1.835946267360593e-05)	(2, 2.5244261176208157e-05)	(3, 5.0488522352416314e-05)	(4, 0.00018588955957026006)	(5, 0.0002157236864148697)	(6, 0.0002547375445962823)	(7, 0.0002776868729382897)	(8, 0.0003144057982855016)	(9, 0.0003603044549695164)	(10, 0.00046931376459405166)	(12, 0.0006368438614907058)	(14, 0.0009202680665144974)	(16, 0.0012381162640513)	(18, 0.0015766188570959096)	(20, 0.0019541353083219314)	(22, 0.0022949328342007414)	(24, 0.0027837535278854996)	(26, 0.003271426755153157)	(28, 0.003764837314506316)	(30, 0.004438400101344234)	(32, 0.005128027418021557)	(34, 0.0057763459436832665)	(36, 0.006395977808917467)	(38, 0.007111996853188098)	(40, 0.008019642789114491)	(42, 0.008922698859372483)	(44, 0.010421290000105566)	(46, 0.013405850150983632)	(48, 0.014482173650223779)	(50, 0.01572258484710928)	(52, 0.01695381631265798)	(54, 0.01803587714398363)	(56, 0.019105315844721173)	(58, 0.02022180066855983)	(60, 0.021431230272183625)	(62, 0.02287589049131299)	(64, 0.024836910598137522)	(66, 0.02683694456314347)	(68, 0.02899991875937767)	(70, 0.03118698975037098)	(72, 0.03337176580853009)	(74, 0.035665551176313724)	(76, 0.038332263129654986)	(78, 0.04094504416139253)	(80, 0.043993862431628214)	(82, 0.047372003563571706)	(84, 0.05130781337422598)	(86, 0.05585292785236054)	(88, 0.06107390005016723)	(90, 0.06729316803085124)	(92, 0.07384979113816276)	(94, 0.08159863185284155)	(96, 0.0903629803466542)	(98, 0.10024381366430549)	(100, 0.1110632745111449)	(102, 0.12332624811069655)	(104, 0.13718649496285193)	(106, 0.15250746656397607)	(108, 0.16981011266743257)	(110, 0.18897739169867717)	(112, 0.21003799031813736)	(114, 0.233012562921321)	(116, 0.2581088009297232)	(118, 0.28671743364086966)	(120, 0.3181614558686711)	(122, 0.3523972638892777)	(124, 0.3899389226575506)	(126, 0.4308988838823654)	(128, 0.47453817919110963)	(130, 0.5233215664477148)	(132, 0.576793501484592)	(134, 0.6343859884252767)	(136, 0.6971960051645169)	(138, 0.7652683028925793)
SRR16975751 - polya	(1, 0.001624812446614125)	(2, 0.006001249361434939)	(3, 0.007593932748370253)	(4, 0.010637013686520437)	(5, 0.01235132851366839)	(6, 0.01377189193803865)	(7, 0.015653736862083257)	(8, 0.021221243917854255)	(9, 0.03017377690407135)	(10, 0.03864781639435759)	(12, 0.043314562312704794)	(14, 0.052516095511432666)	(16, 0.06571425424092113)	(18, 0.07353194294062596)	(20, 0.08178222647957763)	(22, 0.09053051044355084)	(24, 0.09762529530048245)	(26, 0.10654914162627202)	(28, 0.11428650767677982)	(30, 0.12163258767905641)	(32, 0.1284382109988787)	(34, 0.135312682303727)	(36, 0.14272646282461252)	(38, 0.14910867103652478)	(40, 0.1578925264594281)	(42, 0.16506648649913963)	(44, 0.17325251191873367)	(46, 0.1831769489602348)	(48, 0.19215357874121097)	(50, 0.20083645711940948)	(52, 0.21088941039962583)	(54, 0.22587991167262506)	(56, 0.2364802064337983)	(58, 0.24609826994193362)	(60, 0.2553594713943507)	(62, 0.26366368585490607)	(64, 0.27348714585170236)	(66, 0.28499508654880196)	(68, 0.2956309527689053)	(70, 0.3088382912297306)	(72, 0.32246560239921457)	(74, 0.33295115051867774)	(76, 0.3476972414448346)	(78, 0.360711805547587)	(80, 0.36999366139551193)	(82, 0.38028987755615357)	(84, 0.39630965620529185)	(86, 0.4129295597905736)	(88, 0.4230559509214844)	(90, 0.4343780020590137)	(92, 0.4451068130589022)	(94, 0.4599171621044167)	(96, 0.4704635259439862)	(98, 0.47881478652764264)	(100, 0.48707195486509697)	(102, 0.49546222930693484)	(104, 0.5045708177258776)	(106, 0.5128279860633318)	(108, 0.5227386535078278)	(110, 0.5320526384154315)	(112, 0.5402386638350256)	(114, 0.5490397312541854)	(116, 0.5587484446092716)	(118, 0.5688530338782575)	(120, 0.5777826175361326)	(122, 0.5866456481418159)	(124, 0.5976487036153912)	(126, 0.6108847287366441)	(128, 0.6222905449226217)	(130, 0.6345925323803547)	(132, 0.6482634472736886)	(134, 0.6605275683396574)	(136, 0.6713745683805072)	(138, 0.6814699779181563)
SRR16975752 - illumina_universal_adapter	(1, 1.981043101406179e-05)	(2, 4.457346978163903e-05)	(3, 0.00012629149771464391)	(4, 0.00026744081868983416)	(5, 0.0003045853768412)	(6, 0.0003541114543763545)	(7, 0.00038877970865096263)	(8, 0.0004407820900628748)	(9, 0.0004977370792283025)	(10, 0.0006215522730661886)	(12, 0.0008122276715765334)	(14, 0.0010970026174036717)	(16, 0.0013607289802783692)	(18, 0.0016702669648730848)	(20, 0.0019216118083639935)	(22, 0.0022212445774516783)	(24, 0.002483732788387997)	(26, 0.0027127908969880868)	(28, 0.0030272814893363177)	(30, 0.003262530357628301)	(32, 0.003562163126715986)	(34, 0.0038407473128512296)	(36, 0.00411314073929458)	(38, 0.004363247430847109)	(40, 0.004594781843323957)	(42, 0.00481888734417053)	(44, 0.005092518922552259)	(46, 0.005498632758340526)	(48, 0.005757406513461708)	(50, 0.006053324826734256)	(52, 0.006403721825295474)	(54, 0.006793739685884815)	(56, 0.007187472002289293)	(58, 0.007711210272223552)	(60, 0.008238662997972946)	(62, 0.00864849128957635)	(64, 0.009140037609112759)	(66, 0.009620440561203758)	(68, 0.01033485422964836)	(70, 0.011022028555448628)	(72, 0.011813207644072721)	(74, 0.012678675848999545)	(76, 0.013598622739215041)	(78, 0.014620098088377602)	(80, 0.015843392203495916)	(82, 0.01731803116210514)	(84, 0.0189486772649501)	(86, 0.020981722747768196)	(88, 0.023493933030738906)	(90, 0.02615472154631508)	(92, 0.029294674862043873)	(94, 0.03304132262757831)	(96, 0.03739466484291839)	(98, 0.042228410010349465)	(100, 0.04909520066059864)	(102, 0.05848163050544879)	(104, 0.06572481934496513)	(106, 0.07330973811947403)	(108, 0.08200404103077041)	(110, 0.09151552422139682)	(112, 0.10220944251317504)	(114, 0.11438419052325441)	(116, 0.1275346022607763)	(118, 0.14197393016615056)	(120, 0.1581801008875915)	(122, 0.17535203012096795)	(124, 0.19504359854894537)	(126, 0.2156650190826453)	(128, 0.2376310726214247)	(130, 0.2625612619006831)	(132, 0.28940439592473677)	(134, 0.31833629226883564)	(136, 0.3492739947531083)	(138, 0.3831064964693107)
SRR16975752 - polya	(1, 0.0008221328870835643)	(2, 0.009357952350267438)	(3, 0.013421567012026863)	(4, 0.019770810152033667)	(5, 0.02285876108635055)	(6, 0.02517658151499578)	(7, 0.028606262384305227)	(8, 0.03533438001745596)	(9, 0.04855784271934221)	(10, 0.06529394247040929)	(12, 0.07365270620640499)	(14, 0.08641062377946077)	(16, 0.10264403384354603)	(18, 0.11523727720879744)	(20, 0.1300121442894724)	(22, 0.14922083346148207)	(24, 0.16610922590096971)	(26, 0.18499351926512414)	(28, 0.2027783337079981)	(30, 0.2169886035047723)	(32, 0.23032473803305104)	(34, 0.2434243855410994)	(36, 0.2542780254329285)	(38, 0.2655699711109437)	(40, 0.27789329735362855)	(42, 0.28905399892617556)	(44, 0.30126217703859115)	(46, 0.314131528286101)	(48, 0.32608836155502574)	(50, 0.3370893415275219)	(52, 0.3503685210666352)	(54, 0.36613638600189)	(56, 0.37893268628503557)	(58, 0.3902976829274151)	(60, 0.40070434996948945)	(62, 0.41153694127836615)	(64, 0.42350863237055136)	(66, 0.4352896480642262)	(68, 0.44799061064811657)	(70, 0.4631753060203949)	(72, 0.4784615298516204)	(74, 0.49129373654097885)	(76, 0.5055163878571369)	(78, 0.5190642463668784)	(80, 0.5295773944756532)	(82, 0.5398070057905394)	(84, 0.5536582115251838)	(86, 0.5670116801805998)	(88, 0.5789672752975861)	(90, 0.5919938718412701)	(92, 0.6045623521677539)	(94, 0.6218036179096795)	(96, 0.6362949481964658)	(98, 0.6484486476235927)	(100, 0.6603150958010158)	(102, 0.6724675570762042)	(104, 0.683437583250241)	(106, 0.694823628475573)	(108, 0.7074453493354071)	(110, 0.7180278339527313)	(112, 0.7282314440769114)	(114, 0.738282761512671)	(116, 0.7477843394877903)	(118, 0.7586218834044205)	(120, 0.7690013111038506)	(122, 0.7780336294943244)	(124, 0.7879400831532937)	(126, 0.7998461521927448)	(128, 0.8108508466210562)	(130, 0.8230181657195053)	(132, 0.8361970549516098)	(134, 0.8488683018889791)	(136, 0.8604871196787263)	(138, 0.8710522701689132)
SRR16975753 - illumina_universal_adapter	(1, 1.981043101406179e-05)	(2, 4.2097165904881305e-05)	(3, 0.00012133888996112847)	(4, 0.0002624882109363187)	(5, 0.0002996327690876846)	(6, 0.0003466825427460813)	(7, 0.0003739218853904163)	(8, 0.0004259242668023285)	(9, 0.00048287925596775613)	(10, 0.0006091707536824)	(12, 0.0008134658235149123)	(14, 0.0011143367445409758)	(16, 0.0014251128810740701)	(18, 0.0017977966145261075)	(20, 0.002118477966566233)	(22, 0.0025444022333685613)	(24, 0.0029926132350617096)	(26, 0.0034668254274608135)	(28, 0.00406856726951294)	(30, 0.004743360075929419)	(32, 0.005483774935079979)	(34, 0.00619075969189431)	(36, 0.0069026970564621554)	(38, 0.007618348876845137)	(40, 0.008340191456920014)	(42, 0.009097940443207877)	(44, 0.009988171686902279)	(46, 0.011034410074832418)	(48, 0.011912259799143031)	(50, 0.012759155724994172)	(52, 0.013665482943887499)	(54, 0.014688196444988439)	(56, 0.01566757462824612)	(58, 0.01683019929838387)	(60, 0.017947012346801607)	(62, 0.018993250734731744)	(64, 0.02020292517852789)	(66, 0.021412599622324037)	(68, 0.02280675870493864)	(70, 0.02425044386508839)	(72, 0.0257374643430814)	(74, 0.027312393608699317)	(76, 0.028843987556473966)	(78, 0.030599687005095196)	(80, 0.03252748957315108)	(82, 0.03460882298156595)	(84, 0.03688206994042954)	(86, 0.03956638334283491)	(88, 0.04275710088803724)	(90, 0.04604687058830988)	(92, 0.04982942476005729)	(94, 0.05419638664671954)	(96, 0.0591836626545096)	(98, 0.06458943401747172)	(100, 0.07205672835783462)	(102, 0.08202508961372285)	(104, 0.08977963520378965)	(106, 0.09791553159087715)	(108, 0.10707042702325047)	(110, 0.11714774564971603)	(112, 0.12833444841296904)	(114, 0.14090540504332963)	(116, 0.1545486012523263)	(118, 0.16934204061207694)	(120, 0.18578222204987146)	(122, 0.20325997481202748)	(124, 0.2232734627439834)	(126, 0.2441313702979137)	(128, 0.2663017189065256)	(130, 0.2914622044463225)	(132, 0.3184749652859341)	(134, 0.34746753107501355)	(136, 0.378437425509684)	(138, 0.41220554332509074)
SRR16975753 - polya	(1, 0.0017284601059768911)	(2, 0.006443342687323598)	(3, 0.008156944970039942)	(4, 0.011012123339941598)	(5, 0.012661341721862241)	(6, 0.014127313616902814)	(7, 0.016135596060953328)	(8, 0.02199948364111562)	(9, 0.031164284288995956)	(10, 0.04002449956003509)	(12, 0.044800051586362355)	(14, 0.054608691242199706)	(16, 0.068930394713428)	(18, 0.07691276026015653)	(20, 0.08511180239610135)	(22, 0.0941057380764854)	(24, 0.10137121365089255)	(26, 0.11069449774688539)	(28, 0.11848618789510357)	(30, 0.1254495543965463)	(32, 0.1322445322343695)	(34, 0.13944686205991932)	(36, 0.14673338621727894)	(38, 0.15327454290773446)	(40, 0.1625210615835478)	(42, 0.1700651213440902)	(44, 0.17910982125394778)	(46, 0.18995850853802337)	(48, 0.19943779977825193)	(50, 0.208922043626234)	(52, 0.21997874043595728)	(54, 0.2368931340661509)	(56, 0.2480686934619585)	(58, 0.2576978010867309)	(60, 0.26712880440136266)	(62, 0.27596797108944937)	(64, 0.28632387390205016)	(66, 0.29782259095377467)	(68, 0.30833821536642636)	(70, 0.32221170783596154)	(72, 0.3368119954933251)	(74, 0.3475727739897757)	(76, 0.36300633790166825)	(78, 0.37657029238660866)	(80, 0.3860223442841929)	(82, 0.39654787391235163)	(84, 0.413357024627783)	(86, 0.4309202098736872)	(88, 0.44139497527237237)	(90, 0.45307322435516184)	(92, 0.46398134293227955)	(94, 0.4786843972005286)	(96, 0.4895838487140777)	(98, 0.4978930863725382)	(100, 0.5064635740899968)	(102, 0.5150662537578531)	(104, 0.5241889572398285)	(106, 0.5328052565790069)	(108, 0.5436106085452392)	(110, 0.5535158240522702)	(112, 0.5619104941944788)	(114, 0.5708982391151711)	(116, 0.5813011917014302)	(118, 0.5916249025636332)	(120, 0.6005618832548518)	(122, 0.6091558958591395)	(124, 0.6201766862626498)	(126, 0.6338025483445091)	(128, 0.6454275568939483)	(130, 0.65807404079255)	(132, 0.6717853353581575)	(134, 0.6840987563853352)	(136, 0.6949127754151363)	(138, 0.7048823748229629)
SRR16975754 - illumina_universal_adapter	(1, 3.480355776707826e-05)	(2, 5.322897070259027e-05)	(3, 0.00011874155002885522)	(4, 0.000260003049201114)	(5, 0.00030299567938397537)	(6, 0.0003521301138786741)	(7, 0.0003889809397496981)	(8, 0.0004626825914917462)	(9, 0.0005814241415206014)	(10, 0.0007687491730316402)	(12, 0.0010062322730893507)	(14, 0.0012713534925503293)	(16, 0.0015354510779593347)	(18, 0.0018538012681229036)	(20, 0.002186482335014093)	(22, 0.0025375888148407937)	(24, 0.002840584494224769)	(26, 0.003115942054205477)	(28, 0.003403583222809859)	(30, 0.003641066322867569)	(32, 0.003940991100095626)	(34, 0.00417642693204939)	(36, 0.004406744593743291)	(38, 0.004616589574397733)	(40, 0.004823363652896257)	(42, 0.005039350437862537)	(44, 0.005305495291375488)	(46, 0.005674003550085728)	(48, 0.005923770258767114)	(50, 0.006234955010566872)	(52, 0.006634172290836298)	(54, 0.007026224132741916)	(56, 0.007352763395321267)	(58, 0.007826705961384715)	(60, 0.008348759327890889)	(62, 0.008853410915513523)	(64, 0.009436882325138072)	(66, 0.010021377368814591)	(68, 0.010729732132779831)	(70, 0.011546592106254198)	(72, 0.012550777111239602)	(74, 0.013720790832644617)	(76, 0.014969624376051541)	(78, 0.016442633776840528)	(80, 0.01816029171605104)	(82, 0.02038157760883221)	(84, 0.023047120680169612)	(86, 0.02622243350938952)	(88, 0.029964839603402404)	(90, 0.034509774794162035)	(92, 0.0400199968959321)	(94, 0.04650574224923233)	(96, 0.05440410259425515)	(98, 0.06371200702884464)	(100, 0.0758676613960227)	(102, 0.09104098894841685)	(104, 0.10555407253728849)	(106, 0.12182268852529363)	(108, 0.1400300674077354)	(110, 0.1605078666174531)	(112, 0.1836112871704812)	(114, 0.20990742233161275)	(116, 0.23933894859393728)	(118, 0.2722170507092545)	(120, 0.30837999449735276)	(122, 0.348057073985874)	(124, 0.39239578294707966)	(126, 0.4408699734782559)	(128, 0.4935697253759762)	(130, 0.5516752887021653)	(132, 0.6141108240681997)	(134, 0.6825469022468993)	(136, 0.7573847877866372)	(138, 0.8388793655663549)
SRR16975754 - polya	(1, 0.0012815898330700581)	(2, 0.010217915106793386)	(3, 0.01467891230529124)	(4, 0.021275210136204543)	(5, 0.024454617501632338)	(6, 0.0267782667996108)	(7, 0.030186968192680522)	(8, 0.03705145814521072)	(9, 0.05111414275121428)	(10, 0.06839410918256864)	(12, 0.07795485122799542)	(14, 0.09202572490641477)	(16, 0.10844993327031979)	(18, 0.12175103414165551)	(20, 0.138119966266754)	(22, 0.15893863561577865)	(24, 0.17764554791558318)	(26, 0.19681104827067158)	(28, 0.21495905637809898)	(30, 0.2303821506391745)	(32, 0.24448373333915302)	(34, 0.2582700367511239)	(36, 0.27004592288502005)	(38, 0.2824011858923328)	(40, 0.29555181255802854)	(42, 0.3080636915752931)	(44, 0.3219840910480725)	(46, 0.3364971746369442)	(48, 0.3490070063861048)	(50, 0.36134691488263804)	(52, 0.37681811994415626)	(54, 0.3931307521963962)	(56, 0.4061923226995703)	(58, 0.4179415943481152)	(60, 0.4289395186025119)	(62, 0.4400817752582368)	(64, 0.45311980217821546)	(66, 0.4659909767477226)	(68, 0.479342235687605)	(70, 0.4941880003433678)	(72, 0.5099099957476194)	(74, 0.5231476313077328)	(76, 0.5382953680088276)	(78, 0.5520079697690565)	(80, 0.5629485705165427)	(82, 0.5739249984558481)	(84, 0.5872783046638343)	(86, 0.6013123275163827)	(88, 0.6136399524042921)	(90, 0.6276391716990735)	(92, 0.6414705150093312)	(94, 0.6603074288337363)	(96, 0.6756517032728099)	(98, 0.6891544600523842)	(100, 0.7014575177230464)	(102, 0.7141833362571735)	(104, 0.726240721755362)	(106, 0.7390904000097778)	(108, 0.7523280355698911)	(110, 0.7631069021371657)	(112, 0.7740086047906769)	(114, 0.7852081849533123)	(116, 0.7951538134022809)	(118, 0.8066103257119616)	(120, 0.8176747861797364)	(122, 0.8273399388984646)	(124, 0.8380625055928805)	(126, 0.8497472882961511)	(128, 0.8612048242398836)	(130, 0.8738661538287362)	(132, 0.8876719062876947)	(134, 0.9001755962325435)	(136, 0.9118798279828015)	(138, 0.9227078289845708)
SRR16975755 - illumina_universal_adapter	(1, 3.0709021559186694e-05)	(2, 4.5039898286807155e-05)	(3, 0.00010441067330123476)	(4, 0.00023953036816165622)	(5, 0.00027842846213662606)	(6, 0.00032756289663132473)	(7, 0.00036031918629445724)	(8, 0.0004299263018286137)	(9, 0.0005445733156495773)	(10, 0.000743158321732318)	(12, 0.0009959959325696217)	(14, 0.0012959207097976784)	(16, 0.001596869121077708)	(18, 0.001954117405216247)	(20, 0.002342074710913972)	(22, 0.002805780936457691)	(24, 0.003260274455533654)	(26, 0.0037045316340898883)	(28, 0.0041835923704132)	(30, 0.004658558570528621)	(32, 0.005213368226697928)	(34, 0.005691405328969267)	(36, 0.006228813206255035)	(38, 0.006772362887852639)	(40, 0.007331267080229837)	(42, 0.007845131374320228)	(44, 0.008502304435686822)	(46, 0.009269006340614517)	(48, 0.009880115869642332)	(50, 0.010512721713761579)	(52, 0.011216981941518926)	(54, 0.011953998458939408)	(56, 0.012667471393164511)	(58, 0.013560080286484873)	(60, 0.01444552374144142)	(62, 0.015308447247254567)	(64, 0.016299325009564325)	(66, 0.01734650264473259)	(68, 0.01854108358338495)	(70, 0.019761255373336638)	(72, 0.021202532118514465)	(74, 0.022807590312007957)	(76, 0.024425955748177096)	(78, 0.02637904951934137)	(80, 0.028584980901342948)	(82, 0.03125768941104416)	(84, 0.03433575700532664)	(86, 0.03794816157473897)	(88, 0.04212049397058047)	(90, 0.04711173360800028)	(92, 0.05310101644609366)	(94, 0.05994196281542848)	(96, 0.06816174425277079)	(98, 0.0778504405546942)	(100, 0.09044523393016862)	(102, 0.10608124407405452)	(104, 0.12099866311345545)	(106, 0.1375651566105847)	(108, 0.15601718403144801)	(110, 0.17672427726880757)	(112, 0.20011329172233616)	(114, 0.22657525559988734)	(116, 0.25615827970190386)	(118, 0.2891223670775868)	(120, 0.32535696524932317)	(122, 0.3650811319042351)	(124, 0.40947614073829935)	(126, 0.4578326133534987)	(128, 0.5104484272589571)	(130, 0.5685437542446266)	(132, 0.6308134608942414)	(134, 0.6988175655030084)	(136, 0.772949143546885)	(138, 0.8534037091297982)
SRR16975755 - polya	(1, 0.0020841189298168037)	(2, 0.007243234551760168)	(3, 0.008942467078035166)	(4, 0.012428964659054829)	(5, 0.014296073169853379)	(6, 0.015864280537475847)	(7, 0.017737530852586236)	(8, 0.0243993412628258)	(9, 0.034482136674758766)	(10, 0.04410736766545985)	(12, 0.04962373157154175)	(14, 0.059712668787786555)	(16, 0.07437929748445413)	(18, 0.08324601564264329)	(20, 0.09180359631713665)	(22, 0.10143394547809759)	(24, 0.10916954800885673)	(26, 0.11892170962200244)	(28, 0.12722031088134667)	(30, 0.13494362980348212)	(32, 0.14241001657857238)	(34, 0.15003609026577042)	(36, 0.15834902240184223)	(38, 0.16588808719462259)	(40, 0.17600056799406277)	(42, 0.1841405059753512)	(44, 0.19357738830048926)	(46, 0.20492846630281664)	(48, 0.2153930772161355)	(50, 0.2255413852073947)	(52, 0.23704396104941408)	(54, 0.2537066761474288)	(56, 0.2651621648230574)	(58, 0.27606591474467257)	(60, 0.2863176097751811)	(62, 0.29573606668738367)	(64, 0.30679950352110663)	(66, 0.3193144534405272)	(68, 0.33045875736435604)	(70, 0.34438734590955117)	(72, 0.35894546939670957)	(74, 0.3700989860270062)	(76, 0.3859141321299874)	(78, 0.39953051228933073)	(80, 0.40931235928998366)	(82, 0.4205109158185671)	(84, 0.4378144258331168)	(86, 0.45617330255525057)	(88, 0.4675878458688003)	(90, 0.4795868842260265)	(92, 0.4908171734102211)	(94, 0.5054643530599012)	(96, 0.5167478712147984)	(98, 0.5257507327018999)	(100, 0.5348528866920428)	(102, 0.5440543331852271)	(104, 0.5541606721803555)	(106, 0.5641615768681306)	(108, 0.5758095087455302)	(110, 0.5861123854786372)	(112, 0.5950804434079717)	(114, 0.6047220525435044)	(116, 0.6153791066585941)	(118, 0.6263596291341074)	(120, 0.6362069887140865)	(122, 0.6460154502000908)	(124, 0.6579919686081735)	(126, 0.672324892603898)	(128, 0.6847159828030298)	(130, 0.6979167675372722)	(132, 0.7120224447734587)	(134, 0.7249243283645249)	(136, 0.7364105260617126)	(138, 0.7470174221082557)
SRR16975756 - illumina_universal_adapter	(1, 1.9111208043158307e-05)	(2, 3.440017447768495e-05)	(3, 9.36449194114757e-05)	(4, 0.00021786777169200468)	(5, 0.0002446234629524263)	(6, 0.0002752013958214796)	(7, 0.00030004596627758543)	(8, 0.0003459128655811653)	(9, 0.00041662433534085105)	(10, 0.0005446694292300118)	(12, 0.0007510704760961215)	(14, 0.0010109829054830745)	(16, 0.0012842731805002383)	(18, 0.0015575634555174019)	(20, 0.0018470982573712503)	(22, 0.0021366330592250985)	(24, 0.0023850787637861564)	(26, 0.0026373467099558463)	(28, 0.002886747974919062)	(30, 0.003114171350632646)	(32, 0.003419950679323179)	(34, 0.0036502407362432364)	(36, 0.0038853085951740837)	(38, 0.004087887400431561)	(40, 0.0043181774573516195)	(42, 0.004551334195478151)	(44, 0.0048360911953212096)	(46, 0.005168626215272164)	(48, 0.005412294117822432)	(50, 0.005696095557263333)	(52, 0.006030541698018603)	(54, 0.006397476892447243)	(56, 0.006713767385561513)	(58, 0.0071265694792937324)	(60, 0.0076349276132417435)	(62, 0.008042951904963173)	(64, 0.008547487797302553)	(66, 0.009100757270151985)	(68, 0.009733338256380526)	(70, 0.010408919460706172)	(72, 0.011162856618008768)	(74, 0.012026683221559522)	(76, 0.013146600012888598)	(78, 0.01450254022355068)	(80, 0.01605245919585082)	(82, 0.01784413494989691)	(84, 0.02002567934802343)	(86, 0.022654426014359855)	(88, 0.02574661947574287)	(90, 0.029310859775791894)	(92, 0.03366534852842551)	(94, 0.038638084861255306)	(96, 0.044648559790828594)	(98, 0.05180092940098059)	(100, 0.06138615579502664)	(102, 0.07363261790908249)	(104, 0.08431864988641444)	(106, 0.09657562316489403)	(108, 0.11049144930151975)	(110, 0.12598299454130388)	(112, 0.14358537270945482)	(114, 0.1631839165577137)	(116, 0.1855115409145355)	(118, 0.20940437321009203)	(120, 0.23613999770206834)	(122, 0.2660939496285125)	(124, 0.2993722961940641)	(126, 0.335884259160518)	(128, 0.3746456113136517)	(130, 0.4187590572792719)	(132, 0.46598476347472034)	(134, 0.5178850711575254)	(136, 0.5739124442172503)	(138, 0.6344921070328557)
SRR16975756 - polya	(1, 0.0012880954221088697)	(2, 0.010195829491024957)	(3, 0.014925853481706637)	(4, 0.02146570887407541)	(5, 0.02465919173808716)	(6, 0.02713027093806753)	(7, 0.030608510801922343)	(8, 0.03758601285847944)	(9, 0.051458838777008055)	(10, 0.06878028218692459)	(12, 0.07838079754740515)	(14, 0.0924141576134963)	(16, 0.10888993006750308)	(18, 0.12232033151983257)	(20, 0.13909614994011693)	(22, 0.1598451885125739)	(24, 0.1780963921937901)	(26, 0.1975888688374094)	(28, 0.21580853902535438)	(30, 0.23123223947658528)	(32, 0.24570515732766907)	(34, 0.25937349332013593)	(36, 0.2711507752767322)	(38, 0.28344023760888515)	(40, 0.29621034682332353)	(42, 0.3088466775814598)	(44, 0.32233727933912526)	(46, 0.3366276851533969)	(48, 0.34923917134107707)	(50, 0.3612228543445395)	(52, 0.37624235274565754)	(54, 0.39223461163617246)	(56, 0.40539076725308265)	(58, 0.4170237595889531)	(60, 0.4277097915662851)	(62, 0.4386547804126018)	(64, 0.4512309108654021)	(66, 0.4638567304591147)	(68, 0.4768905743445486)	(70, 0.4916855160511596)	(72, 0.5074675516531997)	(74, 0.5205549069211546)	(76, 0.535140580899693)	(78, 0.5484993153218607)	(80, 0.5589483683194575)	(82, 0.5700061132932288)	(84, 0.5834728260408404)	(86, 0.5974746526136603)	(88, 0.6098826044356809)	(90, 0.6237812304850676)	(92, 0.6372211875414188)	(94, 0.6554762134642436)	(96, 0.6700838653320316)	(98, 0.6831415982275195)	(100, 0.6951443924390251)	(102, 0.7081734585224484)	(104, 0.7197882952106778)	(106, 0.7323586923010651)	(108, 0.7457460935352975)	(110, 0.7564646145663029)	(112, 0.7676742936440174)	(114, 0.7790129733760232)	(116, 0.7889183125047922)	(118, 0.7999024793275973)	(120, 0.810428932717769)	(122, 0.8199319809172294)	(124, 0.8306113239717463)	(126, 0.842246227428421)	(128, 0.8541458211164936)	(130, 0.8669952418443111)	(132, 0.8804839324811722)	(134, 0.8929129066320403)	(136, 0.9046385883269199)	(138, 0.9158262895153848)
SRR16975757 - illumina_universal_adapter	(1, 1.3377845630210814e-05)	(2, 2.2933449651789966e-05)	(3, 8.408931538989655e-05)	(4, 0.00021595665088768886)	(5, 0.00023889010053947883)	(6, 0.00026564579179990045)	(7, 0.00028475699984305877)	(8, 0.0003306238991466387)	(9, 0.00041089097292790357)	(10, 0.0005418027480235379)	(12, 0.0007558482781069109)	(14, 0.0010415608383521277)	(16, 0.0013358734422167656)	(18, 0.0016502528145267196)	(20, 0.0019846989552819902)	(22, 0.0023497230289063137)	(24, 0.002742458354193217)	(26, 0.003213549632457069)	(28, 0.003738152293241765)	(30, 0.004276132799656671)	(32, 0.004883869215429105)	(34, 0.005394138470181432)	(36, 0.005975119194693445)	(38, 0.006550366556792509)	(40, 0.007195369828249102)	(42, 0.00781935077085822)	(44, 0.008526465468455077)	(46, 0.009274669263344727)	(48, 0.009892916843540897)	(50, 0.0105512979606277)	(52, 0.011249812614605137)	(54, 0.012015216496733627)	(56, 0.012764375852025433)	(58, 0.013648269224021504)	(60, 0.014558918287277997)	(62, 0.015391211397557543)	(64, 0.01636779412856293)	(66, 0.017430377295762533)	(68, 0.018579916459558504)	(70, 0.019753344633408425)	(72, 0.02104908453873456)	(74, 0.02244802496749375)	(76, 0.02406865540955357)	(78, 0.025937731556174452)	(80, 0.02803709775971539)	(82, 0.03027979802358002)	(84, 0.03299932292812145)	(86, 0.036132605486797253)	(88, 0.03973793488413907)	(90, 0.04383728900939653)	(92, 0.048681980248337156)	(94, 0.05414396350707179)	(96, 0.060700063426277255)	(98, 0.06826332400935715)	(100, 0.07831104163804763)	(102, 0.09113752891621332)	(104, 0.102330007906689)	(106, 0.11504182793659573)	(108, 0.12932841150925872)	(110, 0.1452318032823729)	(112, 0.16320493888656112)	(114, 0.1831761512916616)	(116, 0.20581337721878257)	(118, 0.22997854422895408)	(120, 0.2569989257207735)	(122, 0.28715450089207295)	(124, 0.32061344837363237)	(126, 0.35708145556158705)	(128, 0.39585905224155743)	(130, 0.43986356432133156)	(132, 0.4869019806779571)	(134, 0.538456375495181)	(136, 0.5939457680484911)	(138, 0.653868960867814)
