"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003",3174.71106015607,0.000826835178523899,0.116500343956454,0.00709727671562032,0.994337240025032,0.997304138850378
"ENSG00000000419",3863.44286284468,0.00544696420754063,0.099555260781626,0.0547129721199618,0.956367134586632,0.979049839849433
"ENSG00000000457",1572.25109030607,0.102989621997396,0.155889033209819,0.660659828833358,0.508830491180606,0.716779462509863
"ENSG00000000460",1658.07615087122,-0.516839789755413,0.142707401920715,-3.62167471903494,0.000292702017531708,0.00224885646706487
"ENSG00000000938",5.60749598709301,0.63064364851581,3.25793182491855,0.19357177571743,0.84651119987049,NA
"ENSG00000000971",8801.13754849249,0.561970202370589,0.0945619934874058,5.94287600805956,2.80064278786015e-09,6.47404402589066e-08
"ENSG00000001036",3583.41651123333,-0.376810526563866,0.10300850960032,-3.65805240776627,0.000254139088609691,0.0019910483080042
"ENSG00000001084",5107.33714518248,-0.166854610394442,0.0827789612207048,-2.01566446273196,0.0438350740622975,0.135764949929266
"ENSG00000001167",8883.11011388601,-0.00777988717546207,0.0704436189427143,-0.11044133297281,0.912059374629022,0.95947825731578
"ENSG00000001460",375.016820380128,0.195033020965586,0.285086606951804,0.68411849665936,0.493900342828181,0.704483502451964
"ENSG00000001461",1221.02646778772,0.50583504917945,0.164836215165855,3.06871307782994,0.00214982956949385,0.0120944073127804
"ENSG00000001497",6900.46589727683,-0.49339979035143,0.0800306123785529,-6.16513826006478,7.04215819109577e-10,1.82705520181382e-08
"ENSG00000001561",1777.22497538857,0.0684634464315961,0.140716099088696,0.48653598895207,0.62658719533243,0.801993753895358
"ENSG00000001617",3364.38078642454,0.635002269945409,0.105696236384263,6.00780398307495,1.88053000063289e-09,4.49743595940834e-08
"ENSG00000001626",6.27567288004496,-7.21253170609016,3.09154860450729,-2.33298344252933,0.0196490143450838,NA
"ENSG00000001629",5337.31355031076,0.202115502469809,0.0915410415877317,2.20792224956392,0.0272496935484704,0.0946036075518169
"ENSG00000001630",5326.84277243858,-0.724382679040286,0.0826817756168396,-8.7610924370709,1.9336715133634e-18,1.63580381641125e-16
"ENSG00000001631",4199.10331467015,0.156992420681239,0.094692681878113,1.65791503173727,0.0973346176872776,0.244977015302811
"ENSG00000002016",1525.54919845413,-0.049900358933698,0.171051503498168,-0.2917270992256,0.770495287853737,0.88768947005335
"ENSG00000002079",5.49770073413392,1.62178379529094,2.80012360118586,0.579182931283501,0.562465746683305,NA
"ENSG00000002330",2032.96961184359,-0.0558230494607643,0.133954293631448,-0.41673206544877,0.676874397538664,0.832947262337891
"ENSG00000002549",4691.86249296202,-0.348930765967694,0.0902893679460038,-3.86458310547004,0.000111279098266526,0.000966038634732983
"ENSG00000002587",44.2616096636523,0.620259635439751,1.05866273493795,0.585889740868325,0.557949611934521,0.754239747403878
"ENSG00000002726",25.9409648511343,-0.863574683607258,1.52515944203251,-0.566219281609279,0.571244724025007,NA
"ENSG00000002745",5.80624389186487,-0.396492939204925,2.26988328280415,-0.174675474377303,0.861334640080693,NA
"ENSG00000002746",122.713848850648,1.69781063215313,0.502620894102812,3.37791494956403,0.000730376665435043,0.00491991126093983
"ENSG00000002822",2655.76351521979,0.635593506774053,0.112948685367922,5.62727671157618,1.83076916504914e-08,3.69499401027176e-07
"ENSG00000002834",33626.5434380832,0.325918418822611,0.0734110695397927,4.43963588687325,9.0111203631734e-06,0.000105454641836578
"ENSG00000002919",2206.29744927113,0.122548515516955,0.11760326957554,1.04205024196405,0.297388385989303,0.521117771129779
"ENSG00000002933",34.3933837010028,-0.492859565270532,0.953762827211994,-0.516752751531785,0.605328766599249,0.788077005893456
"ENSG00000003056",9266.62829624311,-0.133525547998108,0.0798291613755986,-1.67264124659742,0.0943979418970183,0.239709257082322
"ENSG00000003096",9351.37097208411,-0.0618328588734867,0.077200140035049,-0.800942314941586,0.423165041625626,0.642851926832931
"ENSG00000003137",71.2528896147657,0.916956081400903,0.958541761731278,0.956615682288829,0.338761270420076,0.564389193878158
"ENSG00000003147",801.075834773636,0.292171595421126,0.182221869698554,1.60338380845537,0.108849943544989,0.266125980344274
"ENSG00000003249",1351.59321311075,0.62736445162277,0.169527443612444,3.70066602937154,0.000215034331343598,0.00171497919754314
"ENSG00000003393",5585.52999132842,0.0536695262872195,0.0892756032700198,0.60116677257159,0.547728913142149,0.747917319212392
"ENSG00000003400",117.006275417421,-0.265728046641111,0.463594615145542,-0.573190537508051,0.566515690596198,0.760163401835363
"ENSG00000003402",2721.97758235618,0.252733383412825,0.11592334467346,2.18017677220011,0.0292443606921309,0.0999575139582312
"ENSG00000003436",3333.26609712452,0.239702509825398,0.104961380299194,2.28372101378739,0.0223879322613955,0.0814032178064092
"ENSG00000003509",2073.57438819168,0.019888864669007,0.126822615070065,0.15682427505551,0.875383340840043,0.941898480684268
"ENSG00000003756",12048.1603988575,0.139672952903144,0.0779150648996536,1.79263089985266,0.0730319621754627,0.199720659014086
"ENSG00000003987",296.305504409231,-0.280198115656555,0.330037263505986,-0.848989331325834,0.39588722880719,0.618486295378148
